topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,class_atr
0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.739441012,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.245789757,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,0.000307692,negative
0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.249716972,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.078827422,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.302635632,0.000136054,0.000136054,0.000136054,0.074824525,0.000136054,0.000136054,0.056145397,0.000136054,0.000136054,0.000136054,0.231863657,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,0.000136054,negative
0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.080939689,0.000285714,0.271724121,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.460464126,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.050141644,0.000285714,0.000285714,0.000285714,0.000285714,0.123873277,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,0.000285714,negative
6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,0.961980592,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,0.034942485,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,negative
6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,0.015870657,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,0.088046916,6.58E-05,6.58E-05,0.673597558,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,0.219458553,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,6.58E-05,negative
8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,0.022340197,8.62E-05,8.62E-05,0.715094647,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,0.104412793,8.62E-05,8.62E-05,0.049640271,0.048186304,8.62E-05,0.056532685,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,8.62E-05,negative
9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,0.809649654,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,0.098594763,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,0.057699835,9.17E-05,9.17E-05,9.17E-05,9.17E-05,0.007306359,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,0.022620948,9.17E-05,9.17E-05,negative
7.94E-05,7.94E-05,7.94E-05,7.94E-05,0.79876075,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,0.067308321,7.94E-05,7.94E-05,0.13020077,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,negative
0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.688455702,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.247523866,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.021632625,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.000106383,0.03749419,0.000106383,negative
0.000102564,0.000102564,0.000102564,0.000102564,0.416678992,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.197810693,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.146321606,0.000102564,0.11809799,0.000102564,0.069869913,0.000102564,0.000102564,0.000102564,0.000102564,0.046707986,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,0.000102564,negative
0.068275784,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,0.221748236,5.41E-05,0.037605984,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,0.105230884,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,0.046233769,0.019589941,5.41E-05,0.028926691,5.41E-05,5.41E-05,0.064514129,5.41E-05,5.41E-05,0.12352067,0.033726585,5.41E-05,5.41E-05,5.41E-05,0.046645131,5.41E-05,5.41E-05,0.06603366,0.135948537,5.41E-05,5.41E-05,5.41E-05,5.41E-05,negative
0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.068863063,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.059018714,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.114047052,0.151024914,0.00010989,0.00010989,0.243014976,0.00010989,0.00010989,0.00010989,0.359196115,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,0.00010989,negative
0.431677993,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.272287753,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.135527909,0.000112994,0.000112994,0.155308606,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,0.000112994,negative
4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,0.095333887,4.32E-05,4.32E-05,4.32E-05,4.32E-05,0.011401415,4.32E-05,0.043101595,4.32E-05,4.32E-05,4.32E-05,4.32E-05,0.447881793,4.32E-05,4.32E-05,0.072649413,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,0.327731249,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,negative
0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.468319397,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.000512821,0.344259097,0.000512821,0.000512821,0.163318942,0.000512821,0.000512821,0.000512821,0.000512821,negative
7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,0.684881867,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,0.311689562,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,negative
0.000100503,0.995075377,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,negative
0.342375603,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,0.01010586,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,0.034373768,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,0.609870747,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,7.12E-05,negative
0.000175439,0.000175439,0.000175439,0.010910363,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.181827984,0.000175439,0.000175439,0.612602452,0.000175439,0.000175439,0.000175439,0.000175439,0.037260064,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.118474217,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.000175439,0.031205621,0.000175439,0.000175439,0.000175439,0.000175439,negative
0.119921424,0.000215054,0.000215054,0.000215054,0.12162657,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.010821169,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.196938759,0.000215054,0.000215054,0.000215054,0.000215054,0.541014659,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,0.000215054,negative
0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.132897194,0.000190476,0.000190476,0.000190476,0.294208569,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.394623581,0.012556048,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.073807505,0.000190476,0.056310309,0.027406317,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,0.000190476,negative
5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,0.015235337,5.32E-05,5.32E-05,5.32E-05,5.32E-05,0.725439768,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,0.170743646,5.32E-05,0.086134441,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,negative
0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.025655231,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.028144594,0.000465116,0.000465116,0.686893356,0.000465116,0.000465116,0.23791147,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,0.000465116,negative
0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.529795775,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.459041434,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,0.000232558,negative
0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.023120761,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.403030182,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.037540396,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.00010582,0.237869294,0.00010582,0.00010582,0.293677462,0.00010582,0.00010582,0.00010582,0.00010582,negative
9.22E-05,9.22E-05,9.22E-05,9.22E-05,0.099000609,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,0.260422129,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,0.148495371,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,0.440758425,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,0.047176001,9.22E-05,9.22E-05,9.22E-05,9.22E-05,negative
0.00017094,0.00017094,0.00017094,0.00017094,0.145096981,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.118588378,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.113550551,0.00017094,0.00017094,0.00017094,0.078516312,0.00017094,0.00017094,0.00017094,0.00017094,0.536555471,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,0.00017094,negative
0.5839364,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.404769482,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,0.000235294,negative
0.000294118,0.000294118,0.000294118,0.000294118,0.887734026,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.098148327,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,negative
0.045230701,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,0.056891035,6.54E-05,0.033295468,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,0.785744248,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,0.027355635,6.54E-05,6.54E-05,0.048607097,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,negative
0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.337107217,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.646621596,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,0.000338983,negative
